timestamp,step,x,y,yaw,v,omega,x_ref,y_ref,yaw_ref,v_ref,curvature_ref,lateral_error,heading_error,velocity_error,longitudinal_error,accel,steering_angle,jerk_accel,steering_rate,mpc_comp_time_ms,mpc_status,min_clearance,nearest_obstacle_id,collision_detected,collision_count,active_destination_id,goal_x,goal_y,replan_count,replan_in_progress,route_completion_ratio
0.0,0,0.0,0.0,0.465,0.0808,-0.0001,0.0,0.0,0.4658,1.5,-0.0,0.0,-0.0008,-1.5,0.0,1.617,-0.0008,0.0,0.0,0.107,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0
0.05,1,0.0036,0.0018,0.4651,0.159,0.0026,0.0036,0.0,0.4658,1.5,-0.0,0.0,-0.0008,-1.4192,0.0,1.5624,0.0198,-1.0923,0.4112,0.164,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0001
0.1,2,0.0107,0.0054,0.4651,0.2336,0.0006,0.0107,0.0018,0.4658,1.5,-0.0001,-0.0,-0.0007,-1.341,0.0,1.4918,0.003,-1.4119,-0.335,0.21,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0004
0.15,3,0.0212,0.0106,0.4651,0.3022,0.0,0.0212,0.0054,0.4658,1.5,-0.0002,-0.0,-0.0007,-1.2664,0.0,1.3726,0.0002,-2.3839,-0.0575,0.209,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0007
0.2,4,0.0347,0.0174,0.4651,0.3675,0.0003,0.0347,0.0106,0.4658,1.5,-0.0005,-0.0,-0.0007,-1.1978,0.0,1.3059,0.0009,-1.3332,0.0149,0.193,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0012
0.25,5,0.0511,0.0256,0.4652,0.429,0.0029,0.0511,0.0174,0.4658,1.5,-0.0008,-0.0,-0.0007,-1.1325,0.0,1.2305,0.0082,-1.5084,0.1458,0.221,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0017
0.3,6,0.0703,0.0353,0.4654,0.4892,0.0043,0.0703,0.0257,0.4657,1.5,-0.0012,-0.0,-0.0005,-1.071,0.0,1.2033,0.0106,-0.5448,0.0475,0.109,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0023
0.35,7,0.0921,0.0462,0.4654,0.5444,0.0008,0.0921,0.0353,0.4657,1.5,-0.0016,-0.0,-0.0003,-1.0108,0.0,1.104,0.0017,-1.9855,-0.1782,0.2,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0031
0.4,8,0.1164,0.0584,0.4654,0.5961,-0.0013,0.1164,0.0463,0.4657,1.5,-0.0021,-0.0001,-0.0002,-0.9556,0.0,1.034,-0.0026,-1.399,-0.0842,0.102,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0039
0.45,9,0.1431,0.0718,0.4654,0.6465,0.0012,0.1431,0.0585,0.4656,1.5,-0.0026,-0.0001,-0.0002,-0.9039,0.0,1.0093,0.0022,-0.494,0.0941,0.159,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0048
0.5,10,0.172,0.0863,0.4655,0.6937,0.0014,0.172,0.0719,0.4655,1.5,-0.0032,-0.0001,-0.0001,-0.8535,0.0,0.9438,0.0025,-1.3117,0.0065,0.246,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0057
0.55,11,0.203,0.1019,0.4653,0.7378,-0.004,0.203,0.0864,0.4654,1.5,-0.0039,-0.0001,0.0001,-0.8063,0.0,0.8823,-0.0065,-1.2291,-0.1792,0.106,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0068
0.6,12,0.2359,0.1185,0.4654,0.7775,0.0009,0.2359,0.102,0.4652,1.5,-0.0046,-0.0001,0.0001,-0.7622,0.0,0.793,0.0014,-1.7861,0.1575,0.246,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0079
0.65,13,0.2707,0.1359,0.4651,0.8174,-0.0066,0.2707,0.1185,0.4651,1.5,-0.0053,-0.0001,0.0003,-0.7225,0.0,0.7976,-0.0096,0.0916,-0.2204,0.226,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.009
0.7,14,0.3072,0.1542,0.4652,0.8556,0.0034,0.3072,0.1359,0.4648,1.5,-0.0061,-0.0,0.0002,-0.6826,0.0,0.7651,0.0048,-0.6489,0.2888,0.223,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0102
0.75,15,0.3454,0.1734,0.4653,0.8916,0.0008,0.3454,0.1543,0.4646,1.5,-0.007,-0.0,0.0006,-0.6444,0.0,0.7197,0.0011,-0.908,-0.074,0.164,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0115
0.8,16,0.3853,0.1934,0.4651,0.9256,-0.0035,0.3853,0.1734,0.4643,1.5,-0.0078,0.0,0.001,-0.6084,0.0,0.6787,-0.0045,-0.8203,-0.1121,0.292,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0128
0.85,17,0.4266,0.2142,0.4652,0.9566,0.0031,0.4266,0.1934,0.4639,1.5,-0.0087,0.0001,0.0012,-0.5744,0.0,0.6203,0.0039,-1.1686,0.1679,0.135,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0142
0.9,18,0.4694,0.2356,0.4656,0.9858,0.0069,0.4694,0.214,0.4635,1.5,-0.0097,0.0001,0.0018,-0.5434,0.0,0.584,0.0084,-0.7261,0.0891,0.103,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0156
0.95,19,0.5134,0.2578,0.4655,1.0139,-0.0021,0.5134,0.2354,0.463,1.5,-0.0106,0.0002,0.0026,-0.5142,0.0,0.5634,-0.0024,-0.411,-0.2159,0.27,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0171
1.0,20,0.5587,0.2805,0.4649,1.0397,-0.0128,0.5587,0.2574,0.4624,1.5,-0.0117,0.0004,0.003,-0.4861,0.0,0.5155,-0.0148,-0.959,-0.2466,0.227,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0186
1.05,21,0.6052,0.3038,0.4649,1.0658,0.0009,0.6052,0.2799,0.4618,1.5,-0.0127,0.0005,0.003,-0.4603,0.0,0.5208,0.001,0.1064,0.3151,0.278,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0202
1.1,22,0.6528,0.3277,0.4644,1.0903,-0.0099,0.6528,0.303,0.4611,1.5,-0.0137,0.0007,0.0038,-0.4342,0.0,0.4909,-0.0108,-0.5974,-0.2365,0.171,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0218
1.15,23,0.7016,0.3521,0.4641,1.1122,-0.0071,0.7016,0.3267,0.4604,1.5,-0.0148,0.0009,0.004,-0.4097,0.0,0.4387,-0.0077,-1.045,0.0631,0.154,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0234
1.2,24,0.7513,0.377,0.4644,1.1336,0.0075,0.7513,0.3508,0.4595,1.5,-0.016,0.0012,0.0045,-0.3878,0.0,0.4277,0.008,-0.22,0.3131,0.222,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.025
1.25,25,0.802,0.4024,0.4644,1.153,0.0001,0.802,0.3754,0.4586,1.5,-0.0171,0.0015,0.0058,-0.3664,0.0,0.3885,0.0001,-0.7843,-0.1571,0.162,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0267
1.3,26,0.8535,0.4282,0.4647,1.173,0.0062,0.8535,0.4004,0.4576,1.5,-0.0183,0.0018,0.0068,-0.347,0.0,0.399,0.0063,0.2112,0.1244,0.283,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0285
1.35,27,0.9059,0.4545,0.4645,1.1906,-0.0052,0.9059,0.4257,0.4565,1.5,-0.0194,0.0022,0.0082,-0.327,0.0,0.3514,-0.0052,-0.9523,-0.2312,0.218,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0302
1.4,28,0.9592,0.4812,0.4639,1.2069,-0.0114,0.9592,0.4515,0.4554,1.5,-0.0207,0.0028,0.0091,-0.3094,0.0,0.327,-0.0113,-0.488,-0.1213,0.153,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.032
1.45,29,1.0131,0.5082,0.4633,1.2239,-0.0132,1.0131,0.4775,0.4541,1.5,-0.0219,0.0033,0.0098,-0.2931,0.0,0.34,-0.0129,0.2599,-0.0319,0.181,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0338
1.5,30,1.0679,0.5355,0.463,1.2381,-0.0064,1.0679,0.5038,0.4527,1.5,-0.0231,0.004,0.0105,-0.2761,0.0,0.2831,-0.0062,-1.1388,0.1343,0.127,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0356
1.55,31,1.1233,0.5632,0.4621,1.2533,-0.0176,1.1233,0.5304,0.4513,1.5,-0.0244,0.0047,0.0117,-0.2619,0.0,0.3041,-0.0169,0.4211,-0.2142,0.291,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0374
1.6,32,1.1794,0.5911,0.4614,1.2661,-0.0138,1.1794,0.5571,0.4498,1.5,-0.0257,0.0054,0.0123,-0.2467,0.0,0.2576,-0.0131,-0.9305,0.0753,0.265,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0393
1.65,33,1.236,0.6193,0.4605,1.2792,-0.0174,1.236,0.5842,0.4481,1.5,-0.027,0.0063,0.0133,-0.2339,0.0,0.2614,-0.0163,0.0771,-0.0634,0.282,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0412
1.7,34,1.2933,0.6477,0.4598,1.2926,-0.0157,1.2933,0.6114,0.4464,1.5,-0.0283,0.0072,0.0142,-0.2208,0.0,0.2681,-0.0146,0.1329,0.0347,0.282,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0431
1.75,35,1.3513,0.6764,0.4584,1.3043,-0.0285,1.3513,0.6387,0.4445,1.5,-0.0297,0.0081,0.0152,-0.2074,0.0,0.2341,-0.0262,-0.6803,-0.2322,0.108,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.045
1.8,36,1.4097,0.7053,0.4579,1.3154,-0.0091,1.4097,0.6662,0.4426,1.5,-0.0311,0.0092,0.0158,-0.1957,0.0,0.2223,-0.0083,-0.2364,0.3568,0.274,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.047
1.85,37,1.4687,0.7343,0.4568,1.326,-0.0225,1.4687,0.6939,0.4405,1.5,-0.0324,0.0103,0.0174,-0.1846,0.0,0.2121,-0.0204,-0.2036,-0.2414,0.234,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.049
1.9,38,1.5282,0.7636,0.4553,1.3357,-0.0305,1.5282,0.7216,0.4384,1.5,-0.0338,0.0115,0.0184,-0.174,0.0,0.1937,-0.0274,-0.3684,-0.1403,0.287,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0509
1.95,39,1.5882,0.793,0.4534,1.3446,-0.0369,1.5882,0.7494,0.4361,1.5,-0.0353,0.0128,0.0192,-0.1643,0.0,0.1769,-0.0329,-0.3341,-0.1101,0.28,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0529
2.0,40,1.6487,0.8224,0.4512,1.3551,-0.0454,1.6487,0.7773,0.4337,1.5,-0.0367,0.0142,0.0197,-0.1554,0.0,0.211,-0.0402,0.6807,-0.145,0.235,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.055
2.05,41,1.7096,0.8519,0.4497,1.3628,-0.0292,1.7096,0.8052,0.4312,1.5,-0.0381,0.0156,0.02,-0.1449,0.0,0.1531,-0.0257,-1.1583,0.2885,0.222,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.057
2.1,42,1.771,0.8816,0.4479,1.3694,-0.0363,1.771,0.8332,0.4286,1.5,-0.0396,0.0171,0.0211,-0.1372,0.0,0.1321,-0.0318,-0.4196,-0.1213,0.219,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.059
2.15,43,1.8327,0.9112,0.4453,1.3753,-0.0532,1.8327,0.8611,0.4259,1.5,-0.0411,0.0186,0.022,-0.1306,0.0,0.1177,-0.0464,-0.2882,-0.2918,0.283,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0611
2.2,44,1.8948,0.9408,0.4429,1.3823,-0.0477,1.8948,0.889,0.4231,1.5,-0.0426,0.0203,0.0222,-0.1247,0.0,0.141,-0.0414,0.4659,0.1004,0.258,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0632
2.25,45,1.9572,0.9705,0.4404,1.3887,-0.0497,1.9572,0.9168,0.4201,1.5,-0.0441,0.0219,0.0228,-0.1177,0.0,0.1271,-0.0429,-0.2766,-0.0306,0.168,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0652
2.3,46,2.02,1.0001,0.4382,1.3954,-0.0458,2.02,0.9446,0.4171,1.5,-0.0456,0.0236,0.0234,-0.1113,0.0,0.1342,-0.0394,0.1404,0.0708,0.196,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0673
2.35,47,2.0832,1.0297,0.4356,1.4014,-0.0512,2.0832,0.9723,0.4139,1.5,-0.0471,0.0254,0.0243,-0.1046,0.0,0.1201,-0.0438,-0.2809,-0.0888,0.278,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0694
2.4,48,2.1467,1.0592,0.4327,1.4084,-0.0574,2.1467,0.9999,0.4106,1.5,-0.0487,0.0272,0.025,-0.0986,0.0,0.1406,-0.0489,0.4092,-0.1019,0.239,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0716
2.45,49,2.2107,1.0888,0.4306,1.4132,-0.0427,2.2107,1.0275,0.4072,1.5,-0.0502,0.0292,0.0256,-0.0916,0.0,0.0953,-0.0362,-0.9063,0.2529,0.289,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0737
2.5,50,2.2749,1.1183,0.4272,1.4181,-0.0679,2.2749,1.0549,0.4036,1.5,-0.0518,0.0311,0.027,-0.0868,0.0,0.0991,-0.0574,0.0761,-0.4223,0.224,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.0758
2.55,51,2.3394,1.1476,0.4251,1.4231,-0.0425,2.3394,1.0822,0.3999,1.5,-0.0534,0.0332,0.0273,-0.0819,0.0,0.0999,-0.0358,0.016,0.4315,0.252,1,999.0,none,0,0,DEST_BAY_02,30.0,1.9021,0,0,0.078
