timestamp,step,x,y,yaw,v,omega,x_ref,y_ref,yaw_ref,v_ref,curvature_ref,lateral_error,heading_error,velocity_error,longitudinal_error,accel,steering_angle,jerk_accel,steering_rate,mpc_comp_time_ms,mpc_status,min_clearance,nearest_obstacle_id,collision_detected,collision_count,active_destination_id,goal_x,goal_y,replan_count,replan_in_progress,route_completion_ratio
0.0,0,0.0,0.0,0.4658,0.0,0.0,0.0,0.0,0.4658,1.5,0.0,0.0,0.0,-1.5,0.0,0.06,0.0082,0.0,0.0,140.483,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.05,1,0.0,0.0,0.4658,0.003,0.0,0.0,0.0,0.4658,1.5,0.0,0.0,0.0,-1.497,0.0,0.12,0.0121,1.2,0.0788,138.917,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.1,2,0.0001,0.0001,0.4658,0.009,0.0001,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0001,-1.491,0.0,0.18,0.0145,1.2,0.048,136.8,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.15,3,0.0005,0.0003,0.4658,0.018,0.0002,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0001,-1.482,0.0,0.24,0.0163,1.2,0.0359,154.106,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.2,4,0.0013,0.0007,0.4658,0.03,0.0005,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0001,-1.47,0.0,0.3,0.0183,1.2,0.0396,137.969,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.25,5,0.0027,0.0013,0.4658,0.045,0.0007,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0001,-1.455,0.0,0.36,0.0195,1.2,0.0232,136.644,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0001
0.3,6,0.0047,0.0024,0.4659,0.063,0.0012,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0002,-1.437,0.0,0.42,0.0223,1.2,0.0571,137.247,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0002
0.35,7,0.0075,0.0038,0.4659,0.084,0.0018,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0002,-1.416,0.0,0.48,0.0252,1.2,0.0575,156.49,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0003
0.4,8,0.0113,0.0057,0.466,0.108,0.0025,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0003,-1.392,0.0,0.54,0.0279,1.2,0.054,142.643,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0004
0.45,9,0.0161,0.0081,0.4662,0.135,0.0036,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0005,-1.365,0.0,0.6,0.0317,1.2,0.0761,137.046,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0005
0.5,10,0.0221,0.0111,0.4663,0.165,0.0047,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0006,-1.335,0.0,0.66,0.0339,1.2,0.0446,150.816,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0007
0.55,11,0.0295,0.0148,0.4666,0.198,0.0063,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0009,-1.302,0.0,0.72,0.0384,1.2,0.0891,120.923,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.001
0.6,12,0.0383,0.0193,0.4669,0.234,0.0081,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0012,-1.266,0.0,0.78,0.0416,1.2,0.0642,150.644,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0013
0.65,13,0.0488,0.0245,0.4673,0.273,0.0102,0.05,0.0251,0.4657,1.5,0.0,0.0001,0.0016,-1.227,0.0,0.84,0.0449,1.2,0.0652,119.748,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0016
0.7,14,0.061,0.0307,0.4678,0.315,0.0132,0.1,0.0503,0.4656,1.5,0.0,0.0,0.0022,-1.185,0.0,0.9,0.0501,1.2,0.105,102.792,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.002
0.75,15,0.075,0.0378,0.4685,0.36,0.0158,0.1,0.0503,0.4656,1.5,0.0,0.0,0.0029,-1.14,0.0,0.96,0.0528,1.2,0.0532,103.242,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0025
0.8,16,0.0911,0.0459,0.4692,0.408,0.0182,0.1,0.0503,0.4656,1.5,0.0,0.0001,0.0036,-1.092,0.0,1.02,0.0535,1.2,0.0139,103.681,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.003
0.85,17,0.1093,0.0552,0.4702,0.459,0.0212,0.15,0.0754,0.4655,1.5,0.0,0.0002,0.0047,-1.041,0.0,1.08,0.0555,1.2,0.04,102.019,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0036
0.9,18,0.1297,0.0655,0.4712,0.513,0.0237,0.15,0.0754,0.4655,1.5,0.0,0.0003,0.0057,-0.987,0.0,1.14,0.0553,1.2,-0.0024,85.461,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0043
0.95,19,0.1526,0.0772,0.4724,0.57,0.0259,0.2,0.1005,0.4653,1.5,0.0,0.0004,0.0071,-0.93,0.0,1.2,0.0544,1.2,-0.0189,85.228,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0051
1.0,20,0.178,0.0902,0.4737,0.63,0.0273,0.2,0.1005,0.4653,1.5,0.0,0.0006,0.0084,-0.87,0.0,1.26,0.0519,1.2,-0.0505,84.387,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0059
