timestamp,step,x,y,yaw,v,omega,x_ref,y_ref,yaw_ref,v_ref,curvature_ref,lateral_error,heading_error,velocity_error,longitudinal_error,accel,steering_angle,jerk_accel,steering_rate,mpc_comp_time_ms,mpc_status,min_clearance,nearest_obstacle_id,collision_detected,collision_count,active_destination_id,goal_x,goal_y,replan_count,replan_in_progress,route_completion_ratio
0.0,0,0.0,0.0,0.4658,0.0,-0.0,0.0,0.0,0.4658,1.5,0.0,0.0,0.0,-1.5,0.0,1.5,-0.0,0.0,0.0,0.016,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.05,1,0.0,0.0,0.4658,0.075,-0.0,0.0,0.0,0.4658,1.5,0.0,0.0,0.0,-1.425,0.0,1.5,-0.0,0.0,0.0,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0
0.1,2,0.0034,0.0017,0.4658,0.15,-0.0001,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0001,-1.35,0.0,1.5,-0.0008,0.0,-0.0158,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0001
0.15,3,0.0101,0.0051,0.4658,0.225,-0.0001,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0001,-1.275,0.0,1.5,-0.0007,0.0,0.0021,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0003
0.2,4,0.0201,0.0101,0.4658,0.3,-0.0001,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0001,-1.2,0.0,1.5,-0.0005,0.0,0.0035,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0007
0.25,5,0.0335,0.0168,0.4658,0.375,-0.0001,0.05,0.0251,0.4657,1.5,0.0,0.0,0.0001,-1.125,0.0,1.5,-0.0004,0.0,0.0021,0.008,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0011
0.3,6,0.0503,0.0253,0.4658,0.45,-0.0002,0.1,0.0503,0.4656,1.5,0.0,-0.0,0.0002,-1.05,0.0,1.4396,-0.0005,-1.2075,-0.0027,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0017
0.35,7,0.0704,0.0354,0.4658,0.522,-0.0002,0.1,0.0503,0.4656,1.5,0.0,-0.0,0.0002,-0.978,0.0,1.3468,-0.0005,-1.8573,0.0015,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0023
0.4,8,0.0937,0.0471,0.4658,0.5893,-0.0002,0.1,0.0503,0.4656,1.5,0.0,-0.0,0.0002,-0.9107,0.0,1.2617,-0.0004,-1.7015,0.0011,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0031
0.45,9,0.12,0.0603,0.4657,0.6524,-0.0004,0.15,0.0754,0.4655,1.5,0.0,-0.0,0.0002,-0.8476,0.0,1.1819,-0.0007,-1.5965,-0.0051,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.004
0.5,10,0.1492,0.075,0.4657,0.7115,-0.0003,0.15,0.0754,0.4655,1.5,0.0,-0.0,0.0002,-0.7885,0.0,1.1071,-0.0006,-1.4959,0.0014,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.005
0.55,11,0.1809,0.0909,0.4657,0.7668,-0.0007,0.2,0.1005,0.4653,1.5,0.0,0.0,0.0004,-0.7332,0.0,1.037,-0.001,-1.4018,-0.009,0.008,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.006
0.6,12,0.2152,0.1082,0.4657,0.8187,-0.0011,0.25,0.1256,0.465,1.5,0.0,0.0,0.0007,-0.6813,0.0,0.9713,-0.0016,-1.3135,-0.0121,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0072
0.65,13,0.2518,0.1265,0.4656,0.8673,-0.0017,0.3,0.1507,0.4646,1.5,0.0,0.0,0.001,-0.6327,0.0,0.9098,-0.0024,-1.2309,-0.0147,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0084
0.7,14,0.2905,0.146,0.4655,0.9128,-0.0016,0.3,0.1507,0.4646,1.5,0.0,0.0001,0.0009,-0.5872,0.0,0.8521,-0.0022,-1.1534,0.0043,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0097
0.75,15,0.3313,0.1665,0.4655,0.9554,-0.0023,0.35,0.1757,0.4642,1.5,0.0,0.0001,0.0013,-0.5446,0.0,0.798,-0.0029,-1.0808,-0.0146,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.011
0.8,16,0.374,0.1879,0.4653,0.9953,-0.0031,0.4,0.2007,0.4637,1.5,0.0,0.0002,0.0016,-0.5047,0.0,0.7474,-0.0037,-1.0127,-0.0167,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0125
0.85,17,0.4185,0.2103,0.4652,1.0326,-0.0038,0.45,0.2257,0.4632,1.5,0.0,0.0003,0.002,-0.4674,0.0,0.7,-0.0044,-0.949,-0.0143,0.012,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0139
0.9,18,0.4646,0.2334,0.465,1.0676,-0.0047,0.5,0.2507,0.4626,1.5,0.0,0.0003,0.0024,-0.4324,0.0,0.6555,-0.0053,-0.8893,-0.0163,0.014,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0155
0.95,19,0.5123,0.2574,0.4648,1.1004,-0.0057,0.55,0.2756,0.4619,1.5,0.0,0.0005,0.0029,-0.3996,0.0,0.6138,-0.0062,-0.8333,-0.0195,0.012,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0171
1.0,20,0.5615,0.282,0.4645,1.1311,-0.0067,0.6,0.3005,0.4612,1.5,0.0,0.0006,0.0033,-0.3689,0.0,0.5748,-0.0071,-0.7808,-0.0168,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0187
1.05,21,0.6121,0.3074,0.4641,1.1598,-0.0078,0.65,0.3253,0.4604,1.5,0.0,0.0008,0.0037,-0.3402,0.0,0.5382,-0.0081,-0.7316,-0.0198,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0204
1.1,22,0.6639,0.3333,0.4637,1.1867,-0.0089,0.7,0.35,0.4596,1.5,0.0,0.0011,0.0041,-0.3133,0.0,0.5039,-0.009,-0.6856,-0.0185,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0221
1.15,23,0.717,0.3599,0.4633,1.2119,-0.0102,0.75,0.3748,0.4586,1.5,0.0,0.0012,0.0047,-0.2881,0.0,0.4718,-0.0101,-0.6424,-0.0221,0.012,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0239
1.2,24,0.7712,0.3869,0.4628,1.2355,-0.0113,0.8,0.3994,0.4577,1.5,0.0,0.0016,0.0051,-0.2645,0.0,0.4417,-0.011,-0.602,-0.0181,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0257
1.25,25,0.8265,0.4145,0.4622,1.2576,-0.0127,0.85,0.424,0.4566,1.5,0.0,0.0019,0.0056,-0.2424,0.0,0.4135,-0.0121,-0.5641,-0.023,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0275
1.3,26,0.8828,0.4426,0.4616,1.2783,-0.0141,0.9,0.4485,0.4555,1.5,0.0,0.0023,0.0061,-0.2217,0.0,0.3871,-0.0132,-0.5285,-0.0212,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0294
1.35,27,0.94,0.471,0.4609,1.2976,-0.0155,0.95,0.473,0.4543,1.5,0.0,0.0026,0.0066,-0.2024,0.0,0.3623,-0.0143,-0.4952,-0.022,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0313
1.4,28,0.9981,0.4999,0.4601,1.3158,-0.0168,1.0,0.4974,0.4531,1.5,0.0,0.0031,0.007,-0.1842,0.0,0.3391,-0.0153,-0.4641,-0.0202,0.026,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0333
1.45,29,1.057,0.5291,0.4593,1.3327,-0.0211,1.1,0.5459,0.4504,1.5,0.0,0.0036,0.0089,-0.1673,0.0,0.3172,-0.019,-0.4374,-0.0741,0.013,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0352
1.5,30,1.1168,0.5586,0.4582,1.3486,-0.0224,1.15,0.57,0.449,1.5,0.0,0.0042,0.0092,-0.1514,0.0,0.2961,-0.02,-0.4223,-0.0189,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0372
1.55,31,1.1772,0.5885,0.4571,1.3634,-0.0238,1.2,0.5941,0.4475,1.5,0.0,0.0048,0.0096,-0.1366,0.0,0.2765,-0.0209,-0.3935,-0.0196,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0392
1.6,32,1.2384,0.6186,0.4559,1.3772,-0.0254,1.25,0.618,0.4459,1.5,0.0,0.0055,0.01,-0.1228,0.0,0.2581,-0.0221,-0.3674,-0.0227,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0413
1.65,33,1.3002,0.6489,0.4546,1.3901,-0.0303,1.35,0.6656,0.4426,1.5,0.0,0.0062,0.012,-0.1099,0.0,0.2409,-0.0261,-0.343,-0.0813,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0433
1.7,34,1.3627,0.6794,0.4531,1.4022,-0.0314,1.4,0.6893,0.4409,1.5,0.0,0.007,0.0122,-0.0978,0.0,0.2249,-0.0269,-0.3202,-0.0147,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0454
1.75,35,1.4257,0.7101,0.4516,1.4134,-0.0327,1.45,0.7128,0.4391,1.5,0.0,0.0079,0.0125,-0.0866,0.0,0.21,-0.0278,-0.2989,-0.018,0.012,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0475
1.8,36,1.4893,0.7409,0.4499,1.4239,-0.0342,1.5,0.7362,0.4372,1.5,0.0,0.0088,0.0127,-0.0761,0.0,0.196,-0.0288,-0.279,-0.0198,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0496
1.85,37,1.5534,0.7719,0.4482,1.4337,-0.0399,1.6,0.7827,0.4332,1.5,0.0,0.0097,0.015,-0.0663,0.0,0.183,-0.0334,-0.2605,-0.0924,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0518
1.9,38,1.618,0.803,0.4462,1.4429,-0.0409,1.65,0.8058,0.4312,1.5,0.0,0.0108,0.015,-0.0571,0.0,0.1709,-0.034,-0.2432,-0.0115,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0539
1.95,39,1.6831,0.8341,0.4442,1.4514,-0.0421,1.7,0.8288,0.429,1.5,0.0,0.0118,0.0152,-0.0486,0.0,0.1595,-0.0348,-0.227,-0.0172,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0561
2.0,40,1.7486,0.8653,0.4421,1.4594,-0.0432,1.75,0.8516,0.4269,1.5,0.0,0.013,0.0152,-0.0406,0.0,0.1489,-0.0355,-0.2119,-0.0129,0.013,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0583
2.05,41,1.8146,0.8965,0.4399,1.4668,-0.0495,1.85,0.8968,0.4223,1.5,0.0,0.0142,0.0176,-0.0332,0.0,0.139,-0.0405,-0.1979,-0.1005,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0605
2.1,42,1.8809,0.9277,0.4374,1.4738,-0.0505,1.9,0.9192,0.4199,1.5,0.0,0.0155,0.0175,-0.0262,0.0,0.1298,-0.0411,-0.1847,-0.0121,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0627
2.15,43,1.9477,0.9589,0.4349,1.4803,-0.0517,1.95,0.9414,0.4174,1.5,0.0,0.017,0.0175,-0.0197,0.0,0.1212,-0.0419,-0.1724,-0.0152,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0649
2.2,44,2.0148,0.9901,0.4323,1.4863,-0.0584,2.05,0.9855,0.4123,1.5,0.0,0.0183,0.02,-0.0137,0.0,0.1131,-0.0471,-0.161,-0.1044,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0672
2.25,45,2.0823,1.0213,0.4294,1.492,-0.059,2.1,1.0072,0.4097,1.5,0.0,0.0199,0.0197,-0.008,0.0,0.1056,-0.0474,-0.1503,-0.0073,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0694
2.3,46,2.1501,1.0523,0.4264,1.4972,-0.0659,2.2,1.0503,0.4042,1.5,0.0,0.0215,0.0222,-0.0028,0.0,0.0986,-0.0528,-0.1403,-0.1071,0.012,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0717
2.35,47,2.2183,1.0833,0.4232,1.5022,-0.0662,2.25,1.0717,0.4014,1.5,0.0,0.0231,0.0218,0.0022,0.0,0.092,-0.0528,-0.1312,-0.0005,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0739
2.4,48,2.2868,1.1141,0.4198,1.5068,-0.0667,2.3,1.0928,0.3985,1.5,0.0,0.0248,0.0213,0.0068,0.0,0.0859,-0.0531,-0.1229,-0.0056,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0762
2.45,49,2.3556,1.1448,0.4165,1.5111,-0.0741,2.4,1.1345,0.3925,1.5,0.0,0.0265,0.024,0.0111,0.0,0.0801,-0.0588,-0.1152,-0.1136,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0785
2.5,50,2.4247,1.1754,0.4128,1.5151,-0.0743,2.45,1.1551,0.3894,1.5,0.0,0.0284,0.0234,0.0151,0.0,0.0747,-0.0588,-0.1079,-0.0002,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0808
2.55,51,2.494,1.2058,0.4091,1.5188,-0.0747,2.5,1.1756,0.3862,1.5,0.0,0.0302,0.0229,0.0188,0.0,0.0697,-0.0589,-0.1011,-0.0028,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0831
2.6,52,2.5637,1.236,0.4053,1.5223,-0.0824,2.6,1.2159,0.3797,1.5,0.0,0.0321,0.0256,0.0223,0.0,0.0649,-0.0649,-0.0947,-0.1187,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0855
2.65,53,2.6337,1.266,0.4012,1.5255,-0.0823,2.65,1.2357,0.3764,1.5,0.0,0.0342,0.0248,0.0255,0.0,0.0605,-0.0647,-0.0887,0.0044,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0878
2.7,54,2.7039,1.2958,0.3971,1.5286,-0.0902,2.75,1.2748,0.3695,1.5,0.0,0.0362,0.0276,0.0286,0.0,0.0563,-0.0707,-0.0831,-0.1209,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0901
2.75,55,2.7744,1.3254,0.3926,1.5314,-0.0897,2.8,1.2941,0.366,1.5,0.0,0.0384,0.0266,0.0314,0.0,0.0524,-0.0702,-0.0778,0.0105,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0925
2.8,56,2.8451,1.3547,0.3881,1.534,-0.0895,2.85,1.3132,0.3624,1.5,0.0,0.0405,0.0257,0.034,0.0,0.0488,-0.0699,-0.0729,0.006,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0948
2.85,57,2.9161,1.3837,0.3836,1.5364,-0.0978,2.95,1.3507,0.355,1.5,0.0,0.0427,0.0286,0.0364,0.0,0.0454,-0.0763,-0.0683,-0.1277,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0972
2.9,58,2.9873,1.4124,0.3788,1.5387,-0.0973,3.0,1.3691,0.3512,1.5,0.0,0.045,0.0276,0.0387,0.0,0.0422,-0.0757,-0.064,0.0106,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.0996
2.95,59,3.0588,1.4409,0.3739,1.5408,-0.1056,3.1,1.4053,0.3435,1.5,0.0,0.0474,0.0304,0.0408,0.0,0.0392,-0.082,-0.0599,-0.1258,0.011,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.102
3.0,60,3.1305,1.469,0.3686,1.5428,-0.1047,3.15,1.4231,0.3395,1.5,0.0,0.0498,0.0291,0.0428,0.0,0.0364,-0.0812,-0.0561,0.0161,0.01,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.1044
3.05,61,3.2025,1.4968,0.3634,1.5446,-0.1131,3.25,1.4579,0.3314,1.5,0.0,0.0523,0.032,0.0446,0.0,0.0337,-0.0877,-0.0526,-0.1286,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.1068
3.1,62,3.2747,1.5243,0.3577,1.5463,-0.1117,3.3,1.475,0.3273,1.5,0.0,0.0548,0.0304,0.0463,0.0,0.0313,-0.0864,-0.0492,0.0241,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.1092
3.15,63,3.3471,1.5513,0.3521,1.5479,-0.1108,3.35,1.4919,0.323,1.5,0.0,0.0573,0.0291,0.0479,0.0,0.029,-0.0857,-0.0461,0.0151,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.1116
3.2,64,3.4198,1.578,0.3466,1.5493,-0.1196,3.45,1.5249,0.3145,1.5,0.0,0.0599,0.0321,0.0493,0.0,0.0268,-0.0924,-0.0432,-0.1333,0.008,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.114
3.25,65,3.4926,1.6043,0.3406,1.5506,-0.1182,3.5,1.541,0.3101,1.5,0.0,0.0626,0.0305,0.0506,0.0,0.0248,-0.0912,-0.0404,0.0228,0.008,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.1164
3.3,66,3.5657,1.6302,0.3347,1.5519,-0.1273,3.6,1.5726,0.3011,1.5,0.0,0.0652,0.0336,0.0519,0.0,0.0229,-0.0981,-0.0379,-0.1384,0.009,1,999.0,none,0,0,DEST_BAY_01,30.0,1.9021,0,0,0.1189
